service_id,date,exception_type
1,20231122,1
1,20231123,1
1,20231124,1
1,20231127,1
1,20231128,1
1,20231129,1
1,20231130,1
1,20231201,1
10,20231125,1
10,20231126,1
11,20231202,1
11,20231203,1
11,20231209,1
12,20231125,1
12,20231202,1
12,20231209,1
13,20231126,1
13,20231203,1
14,20231127,1
14,20231128,1
14,20231129,1
14,20231130,1
14,20231201,1
15,20231122,1
15,20231123,1
15,20231124,1
16,20231122,1
16,20231123,1
16,20231124,1
16,20231127,1
16,20231128,1
16,20231129,1
16,20231130,1
17,20231126,1
17,20231127,1
18,20231202,1
18,20231203,1
19,20231127,1
19,20231128,1
19,20231129,1
19,20231130,1
19,20231201,1
19,20231204,1
19,20231205,1
19,20231206,1
19,20231207,1
19,20231208,1
2,20231125,1
2,20231126,1
2,20231202,1
2,20231203,1
3,20231122,1
3,20231123,1
3,20231124,1
3,20231127,1
3,20231128,1
3,20231129,1
3,20231130,1
3,20231201,1
3,20231204,1
3,20231205,1
3,20231206,1
3,20231207,1
3,20231208,1
4,20231122,1
4,20231123,1
4,20231127,1
4,20231128,1
4,20231129,1
4,20231130,1
4,20231204,1
4,20231205,1
4,20231206,1
4,20231207,1
5,20231125,1
5,20231126,1
5,20231202,1
5,20231203,1
5,20231209,1
6,20231124,1
6,20231201,1
6,20231208,1
7,20231122,1
7,20231123,1
7,20231124,1
7,20231125,1
7,20231128,1
7,20231129,1
7,20231130,1
7,20231201,1
7,20231202,1
8,20231126,1
8,20231127,1
8,20231203,1
8,20231204,1
9,20231122,1
9,20231123,1
9,20231124,1
9,20231125,1
9,20231128,1
9,20231129,1
9,20231130,1
9,20231201,1
9,20231202,1
9,20231205,1
9,20231206,1
9,20231207,1
9,20231208,1
9,20231209,1
