stop_id,stop_name,stop_lat,stop_lon
638177,Nyárfa utca,48.081361,20.723168
638179,LÁEV (kisvasút),48.100110,20.704797
638180,Vasgyár,48.095330,20.730342
638181,Diósgyőri Gimnázium,48.100132,20.708846
638182,Diósgyőri Gimnázium,48.100191,20.708458
638183,Vasgyár,48.094545,20.728844
638185,Vasgyár,48.094453,20.728738
638186,Vasgyár,48.095134,20.728014
638190,Fonoda utca,48.106964,20.817554
638191,Fonoda utca,48.106913,20.819026
638201,Lackó-tanya,48.123885,20.713777
638202,Lackó-tanya,48.124665,20.713461
638203,Szarka-hegy (16),48.106296,20.722613
638204,Szarka-hegy (16),48.106997,20.721975
638207,Orvosi rendelő,48.093918,20.814802
638208,Csermőke,48.090659,20.761108
638209,Csermőke,48.090594,20.762057
638210,Berzsenyi Dániel utca,48.087122,20.815749
638211,Berzsenyi Dániel utca,48.086862,20.815916
638214,Erdő utca,48.103906,20.674107
638216,Tokaji Ferenc utca,48.096530,20.694635
638217,Ómassa,48.110423,20.532918
638218,Miskolctapolca,48.062246,20.746638
638219,LÁEV (kisvasút),48.099944,20.703162
638220,LÁEV (kisvasút),48.099961,20.702784
638221,Komlóstető elágazás,48.083559,20.726630
638225,Vágóhíd utca,48.109302,20.800609
638226,Vágóhíd utca,48.108787,20.800653
638227,Cserepes ház,48.133817,20.706087
638228,Cserepes ház,48.133157,20.706489
638229,Levente vezér utca,48.115001,20.789918
638230,Levente vezér utca,48.114028,20.789315
638231,Nagy-erenyő,48.125233,20.692988
638232,Nagy-erenyő,48.125149,20.693012
638233,Garadna vasút,48.116667,20.558572
638234,Garadna vasút,48.116663,20.559047
638235,Vízügyi Igazgatóság,48.100276,20.797890
638236,Vízügyi Igazgatóság,48.098638,20.797619
638238,Vízügyi Igazgatóság,48.099499,20.796525
638239,Vízügyi Igazgatóság,48.098958,20.799329
638244,Felső-Hámor,48.106689,20.635105
638245,Felső-Hámor,48.107197,20.635778
638246,Könyves Kálmán utca,48.097287,20.709699
638247,Könyves Kálmán utca,48.097087,20.710866
638248,Sajó utca,48.106493,20.827551
638249,Sajó utca,48.106246,20.828373
638252,Bányaüzem,48.147106,20.685905
638253,Bányaüzem,48.147408,20.686062
638254,Újgyőri főtér,48.101443,20.729699
638255,Újgyőri főtér,48.101434,20.730080
638256,Újgyőri főtér,48.101066,20.731108
638261,Újgyőri főtér,48.101208,20.729927
638265,Újgyőri főtér,48.101153,20.730032
638270,Újgyőri főtér,48.101562,20.729907
638271,Babits Mihály utca,48.077081,20.824066
638272,Babits Mihály utca,48.077343,20.823793
638273,Bükkszentlászló,48.080754,20.664127
638274,Lomb utca,48.078512,20.723402
638276,Villanyrendőr,48.102008,20.785445
638277,Gömöri pályaudvar,48.105745,20.801813
638278,Gömöri pályaudvar,48.105422,20.801813
638279,Gömöri pályaudvar,48.106712,20.799953
638280,Leszih Andor utca,48.093522,20.771668
638281,Leszih Andor utca,48.094022,20.771713
638284,Szirma,48.063126,20.825480
638285,Északi iparterület,48.124620,20.793546
638286,Északi iparterület,48.125327,20.793272
638287,Szervezet utca,48.095039,20.695555
638288,Szervezet utca,48.095162,20.695279
638289,Bodótető,48.107010,20.762210
638290,Damjanich utca,48.099222,20.762887
638291,Damjanich utca,48.098873,20.761849
638292,Örs utca,48.102754,20.741866
638293,Örs utca,48.102702,20.742902
638294,Álmos utca,48.112007,20.788809
638295,Álmos utca,48.111006,20.788222
638296,Lehár utca,48.053207,20.795324
638298,Tapolcai elágazás,48.083217,20.785389
638299,Tapolcai elágazás,48.082341,20.785115
638304,Lyukóbánya,48.147150,20.679169
638305,Vologda városrész,48.106097,20.771293
638306,Vologda városrész,48.106061,20.769767
638307,Vologda városrész,48.106527,20.770225
638308,Bacsinszky András utca,48.054996,20.776707
638309,Bacsinszky András utca,48.055277,20.777393
638310,Csermőkei út,48.076787,20.770696
638311,Csermőkei út,48.076404,20.772739
638314,Sajórajáró út,48.113149,20.799425
638315,Sajórajáró út,48.112784,20.799689
638317,Tatárdomb,48.087171,20.715269
638318,Tatárdomb,48.086869,20.715707
638319,Tatárdomb,48.088173,20.714445
638322,Barátság tér,48.130231,20.675241
638323,Barátság tér,48.130344,20.674893
638324,Repülőtér megállóhely,48.129100,20.791612
638325,Repülőtér megállóhely,48.129646,20.791258
638326,Bertalan utca,48.100858,20.710444
638327,Bertalan utca,48.100913,20.710347
638328,Verseny utca,48.091459,20.704680
638329,Verseny utca,48.091118,20.705981
638330,Thököly utca,48.104188,20.757868
638331,Thököly utca,48.104190,20.758251
638332,Ruzsinszőlő,48.088659,20.767688
638333,Ruzsinszőlő,48.089511,20.766784
638334,Hejőcsabai városrész,48.076534,20.785061
638335,Hejőcsabai városrész,48.075647,20.785504
638336,Szeles utca,48.107546,20.789014
638337,Szeles utca,48.106500,20.789576
638338,Szeles utca,48.107070,20.788333
638339,Szent Anna tér,48.104621,20.763508
638340,Szent Anna tér,48.104618,20.763113
638346,Avas városközpont,48.082029,20.777844
638348,Avas városközpont,48.082011,20.778156
638351,Megyei Kórház,48.120854,20.787739
638352,Megyei Kórház,48.119580,20.788164
638353,Szent Anna tér,48.105510,20.764860
638354,Szent Anna tér,48.105504,20.763576
638355,Gyula utca,48.102883,20.743843
638356,Gyula utca,48.103001,20.745346
638357,Selyemrét,48.102631,20.806568
638358,Selyemrét,48.102666,20.806964
638360,Lévay József utca,48.093168,20.796153
638362,Lévay József utca,48.093522,20.795644
638363,Lévay József utca,48.093858,20.796216
638364,Pesti út,48.055841,20.797895
638365,DVTK Stadion,48.100976,20.719359
638366,DVTK Stadion,48.100939,20.718962
638368,Selyemrét,48.102414,20.805710
638369,Selyemrét,48.102485,20.805072
638371,Szabadságharc utca,48.088523,20.781626
638372,Szabadságharc utca,48.088996,20.780561
638373,Üveggyár,48.097369,20.750986
638374,Üveggyár,48.097347,20.751444
638375,Futó utca,48.066439,20.787037
638377,Futó utca,48.066796,20.787166
638379,Mikes Kelemen utca,48.094900,20.781560
638380,Lyukó-völgy,48.115066,20.717519
638381,Lyukó-völgy,48.115417,20.717456
638384,Kazinczy Ferenc utca,48.105190,20.784315
638385,Kazinczy Ferenc utca,48.106362,20.785303
638386,Berekalja,48.098673,20.676840
638387,Egyetemváros,48.080859,20.764500
638388,Palotaszálló (5),48.103256,20.622254
638389,Palotaszálló (5),48.103124,20.622329
638392,Alsó-Hámor,48.109383,20.640943
638393,Alsó-Hámor,48.109317,20.640532
638395,Kossuth Lajos utca,48.100079,20.859861
638396,Berekkert,48.067625,20.829828
638397,Avas kilátó,48.096694,20.771012
638398,Avas kilátó,48.096734,20.771267
638399,Avas kilátó,48.096752,20.770776
638403,Avas kilátó,48.096859,20.771026
638404,Bükkszentlászló alsó,48.073893,20.675932
638405,Bükkszentlászló alsó,48.074071,20.675933
638406,"Miskolctapolca, parkoló",48.066695,20.753130
638407,"Miskolctapolca, parkoló",48.067877,20.754118
638408,Kiss Ernő utca,48.100193,20.740787
638409,Kiss Ernő utca,48.100141,20.741784
638410,Görömböly,48.051992,20.771708
638411,Erdőgazdaság,48.141505,20.699270
638412,Erdőgazdaság,48.141988,20.698934
638413,Magas-hegy,48.088020,20.747522
638414,Magas-hegy,48.088032,20.746790
638417,Nagyváthy utca,48.101330,20.765585
638418,Petneházy bérházak,48.086154,20.785597
638419,Petneházy bérházak,48.085088,20.785331
638420,Dóczy József utca,48.106888,20.765874
638421,Petőfi tér,48.107103,20.786001
638422,Petőfi tér,48.107529,20.784797
638423,Petőfi tér,48.107622,20.785272
638424,Petőfi tér,48.107125,20.787288
638425,Bulcsú utca,48.109386,20.793140
638426,Bulcsú utca,48.108877,20.793325
638429,Nimród utca,48.113126,20.764989
638430,Marjalaki utca,48.112191,20.766725
638431,Marjalaki utca,48.111997,20.767122
638432,Tinódi utca,48.110655,20.770904
638433,Tinódi utca,48.110632,20.771347
638434,Ládi fűrésztelep,48.085935,20.724943
638435,Ládi fűrésztelep,48.086499,20.725891
638437,Szemere utca,48.100698,20.786479
638438,Szemere utca,48.100534,20.786420
638440,Batthyány sor,48.087514,20.730625
